Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,Status_Dropout,Status_Enrolled,Status_Graduate
Single,Technological specialization diploma holders,First Choice,Agronomy,Daytime,Technological specialization,150.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,150.0,Yes,No,No,Yes,Male,No,20,No,0,6,8,6,13.125,0,0,6,10,6,13.2,0,16.2,0.3,-0.92,0,False,False,True
Single,1st phase - general contingent,First Choice,Advertising and Marketing Management,Daytime,Secondary education,133.1,Portuguese,Higher Education,Secondary Education,Administrative Staff,Administrative Staff,95.0,No,No,No,Yes,Male,No,19,No,0,6,7,0,0.0,0,0,6,6,0,0.0,0,15.5,2.8,-4.06,1,True,False,False
Single,Change of course,First Choice,Management (evening attendance),Evening,Secondary education,120.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,128.2,No,No,No,No,Male,No,32,No,5,9,9,5,11.4,0,4,4,4,4,11.0,0,10.8,1.4,1.74,1,True,False,False
Married,Over 23 years old,First Choice,Equinculture,Daytime,Secondary education,150.0,Portuguese,Basic Education,Basic Education,Administrative Staff,Administrative Staff,130.0,No,No,No,No,Male,No,31,No,0,4,12,2,11.0,2,0,5,9,3,11.666666666666666,0,9.4,-0.8,-3.12,1,True,False,False
Single,Over 23 years old,First Choice,Informatics Engineering,Daytime,Basic education,133.1,Portuguese,Secondary Education,Basic Education,Administrative Staff,Service Workers,100.0,No,No,No,Yes,Male,No,25,No,0,5,13,1,11.0,0,0,5,11,1,10.0,0,13.9,-0.3,0.79,2,False,True,False
Single,Transfer,First Choice,Veterinary Nursing,Daytime,Technological specialization,140.0,Portuguese,Basic Education,Higher Education,Unskilled Workers,Managers,159.9,Yes,No,No,Yes,Female,No,21,No,2,6,14,5,13.666666666666666,0,2,6,10,5,13.0,0,16.2,0.3,-0.92,0,False,False,True
Married,Change of course,First Choice,Management (evening attendance),Evening,Secondary education,140.0,Portuguese,Basic Education,Basic Education,Administrative Staff,Unskilled Workers,100.0,No,No,No,No,Female,No,31,No,2,6,10,4,11.75,0,0,5,6,1,10.0,0,12.7,3.7,-1.7,1,True,False,False
Married,Over 23 years old,First Choice,Basic Education,Daytime,Secondary education,133.1,Portuguese,Basic Education,Basic Education,Service Workers,Service Workers,116.5,No,No,No,Yes,Female,No,34,No,0,7,11,1,10.0,0,0,7,7,1,13.0,0,16.2,0.3,-0.92,1,True,False,False
Single,1st phase - general contingent,First Choice,Social Service,Daytime,Secondary education,128.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,120.0,No,No,No,Yes,Female,Yes,18,No,0,6,8,6,13.5,0,0,6,9,6,12.833333333333334,0,11.1,0.6,2.02,0,False,False,True
Single,1st phase - general contingent,Second Choice,Social Service,Daytime,Secondary education,117.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,117.0,Yes,No,Yes,Yes,Female,No,19,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,1,True,False,False
Single,Short cycle diploma holders,First Choice,Advertising and Marketing Management,Daytime,Other,140.0,Portuguese,Basic Education,Basic Education,Technicians,Agricultural Workers,140.0,Yes,No,Yes,Yes,Female,No,21,No,0,6,12,1,12.0,0,0,6,11,1,11.0,0,8.9,1.4,3.51,2,False,True,False
Single,1st phase - general contingent,Second Choice,Basic Education,Daytime,Secondary education,124.0,Portuguese,Basic Education,Basic Education,Service Workers,Technicians,118.1,Yes,No,No,No,Female,No,18,No,0,6,11,3,13.0,0,0,6,10,5,11.8,0,9.4,-0.8,-3.12,1,True,False,False
Single,1st phase - general contingent,First Choice,Tourism,Daytime,Secondary education,158.0,Portuguese,Basic Education,Higher Education,Administrative Staff,Machine Operators,153.5,Yes,No,No,Yes,Female,No,20,No,0,6,7,6,14.833333333333334,0,0,6,6,6,16.0,0,11.1,0.6,2.02,0,False,False,True
Single,Change of course,First Choice,Journalism and Communication,Daytime,Secondary education,137.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Service Workers,127.9,Yes,No,No,Yes,Female,No,20,No,0,6,6,6,11.833333333333334,0,0,6,7,6,12.857142857142858,0,15.5,2.8,-4.06,0,False,False,True
Single,2nd phase - general contingent,Second Choice,Advertising and Marketing Management,Daytime,Secondary education,123.0,Portuguese,Basic Education,Basic Education,Skilled Workers,Machine Operators,118.8,Yes,Yes,No,Yes,Female,Yes,18,No,0,6,10,5,12.0,0,0,6,11,5,12.333333333333334,0,11.1,0.6,2.02,0,False,False,True
Single,1st phase - general contingent,First Choice,Social Service,Daytime,Secondary education,126.0,Portuguese,Basic Education,Basic Education,Skilled Workers,Machine Operators,126.7,Yes,No,No,Yes,Female,No,19,No,0,6,11,4,12.75,0,0,6,7,6,11.333333333333334,0,7.6,2.6,0.32,0,False,False,True
Single,Change of course,First Choice,Veterinary Nursing,Daytime,Secondary education,170.0,Portuguese,Basic Education,Basic Education,Service Workers,Managers,170.0,Yes,No,No,Yes,Female,No,19,No,0,5,5,0,0.0,5,0,5,7,4,14.75,1,12.7,3.7,-1.7,2,False,True,False
Divorced,Over 23 years old,First Choice,Equinculture,Daytime,Secondary education,133.1,Portuguese,Higher Education,Secondary Education,Service Workers,Service Workers,110.0,Yes,No,No,Yes,Female,Yes,30,No,0,6,7,0,0.0,0,0,6,16,1,10.0,0,11.1,0.6,2.02,1,True,False,False
Single,2nd phase - general contingent,First Choice,Social Service,Daytime,Secondary education,115.0,Portuguese,Basic Education,Basic Education,Service Workers,Service Workers,115.0,Yes,No,No,Yes,Female,No,19,No,0,6,6,6,12.0,0,0,6,7,6,12.857142857142858,0,11.1,0.6,2.02,0,False,False,True
Single,1st phase - general contingent,Second Choice,Oral Hygiene,Daytime,Secondary education,132.0,Portuguese,Basic Education,Basic Education,Skilled Workers,Skilled Workers,119.0,Yes,No,No,Yes,Female,No,19,No,0,7,9,7,11.677777777777775,0,0,8,8,8,13.8,0,12.7,3.7,-1.7,0,False,False,True
Single,1st phase - general contingent,Second Choice,Nursing,Daytime,Secondary education,132.0,Portuguese,Secondary Education,Basic Education,Administrative Staff,Skilled Workers,121.8,Yes,No,No,Yes,Female,Yes,19,No,0,8,8,7,13.6,0,0,8,8,7,13.6,0,12.7,3.7,-1.7,0,False,False,True
Single,1st phase - general contingent,First Choice,Veterinary Nursing,Daytime,Secondary education,143.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,133.4,Yes,No,No,Yes,Female,No,19,No,0,6,7,6,16.0,0,0,6,8,6,15.875,0,12.4,0.5,1.79,0,False,False,True
Single,1st phase - general contingent,Second Choice,Social Service,Daytime,Secondary education,137.0,Portuguese,Secondary Education,Secondary Education,Technicians,Technicians,131.4,Yes,No,No,Yes,Female,No,20,No,0,6,9,5,11.8,0,0,6,7,6,11.5,0,7.6,2.6,0.32,0,False,False,True
Single,Transfer,First Choice,Informatics Engineering,Daytime,Secondary education,130.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Technicians,135.0,No,No,Yes,Yes,Male,No,25,No,0,5,5,0,0.0,0,2,6,7,2,14.0,0,13.9,-0.3,0.79,1,True,False,False
Single,1st phase - general contingent,Second Choice,Journalism and Communication,Daytime,Secondary education,121.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,122.8,No,No,No,Yes,Male,No,19,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,1,True,False,False
Married,Over 23 years old,First Choice,Basic Education,Daytime,Secondary education,130.0,Portuguese,Basic Education,Basic Education,Skilled Workers,Technicians,140.0,No,No,Yes,Yes,Female,Yes,34,No,0,6,7,6,16.142857142857142,0,0,6,10,6,16.2,0,9.4,-0.8,-3.12,0,False,False,True
Single,3rd phase - general contingent,Second Choice,Nursing,Daytime,Secondary education,135.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Service Workers,125.3,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,7,11.785714285714286,0,0,8,8,7,11.785714285714286,0,12.7,3.7,-1.7,0,False,False,True
Single,1st phase - general contingent,Second Choice,Nursing,Daytime,Secondary education,137.0,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Service Workers,126.3,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,8,13.42375,0,0,8,8,8,13.42375,0,9.4,-0.8,-3.12,0,False,False,True
Single,1st phase - general contingent,First Choice,Advertising and Marketing Management,Daytime,Secondary education,100.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Armed Forces,100.0,No,No,No,Yes,Female,No,20,No,0,6,8,6,12.5,0,0,6,10,5,14.166666666666666,0,11.1,0.6,2.02,0,False,False,True
Single,2nd phase - general contingent,Second Choice,Nursing,Daytime,Secondary education,127.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Skilled Workers,121.3,Yes,No,No,Yes,Female,Yes,20,No,0,8,8,7,12.464285714285714,0,0,8,8,7,12.464285714285714,0,10.8,1.4,1.74,0,False,False,True
Single,Short cycle diploma holders,First Choice,Management (evening attendance),Evening,Secondary education,140.0,Portuguese,Basic Education,Basic Education,Service Workers,Unskilled Workers,135.0,No,No,Yes,Yes,Female,No,23,No,6,11,18,8,12.375,0,3,9,15,5,12.6,0,8.9,1.4,3.51,2,False,True,False
Single,Over 23 years old,First Choice,Advertising and Marketing Management,Daytime,Secondary education,140.0,Portuguese,Basic Education,Basic Education,Agricultural Workers,Agricultural Workers,120.0,No,No,No,Yes,Female,No,28,No,0,6,8,1,10.0,0,0,6,9,0,0.0,0,10.8,1.4,1.74,1,True,False,False
Single,2nd phase - general contingent,First Choice,Journalism and Communication,Daytime,Secondary education,121.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Armed Forces,113.7,No,No,No,Yes,Female,No,18,No,0,6,8,5,12.6,0,0,6,10,6,12.428571428571429,0,15.5,2.8,-4.06,2,False,True,False
Single,Change of course,First Choice,Management,Daytime,Secondary education,131.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,129.7,Yes,No,No,Yes,Female,No,19,No,0,5,5,5,12.6,0,0,5,6,4,12.4,0,16.2,0.3,-0.92,0,False,False,True
Married,1st phase - general contingent,First Choice,Management,Daytime,Secondary education,151.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Machine Operators,132.1,Yes,No,No,Yes,Female,No,34,No,0,5,7,2,10.0,0,0,5,6,4,12.0,0,7.6,2.6,0.32,1,True,False,False
Married,Change of institution/course,First Choice,Basic Education,Daytime,Secondary education,130.0,Portuguese,Basic Education,Basic Education,Skilled Workers,Machine Operators,120.3,No,No,No,Yes,Female,No,35,No,0,7,7,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,1,True,False,False
Single,Holders of other higher courses,First Choice,Management (evening attendance),Evening,Higher education,120.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Skilled Workers,120.0,No,No,No,Yes,Female,No,32,No,0,5,7,5,11.6,0,0,5,8,5,12.333333333333334,0,12.4,0.5,1.79,0,False,False,True
Single,2nd phase - general contingent,Second Choice,Tourism,Daytime,Secondary education,136.0,Portuguese,Basic Education,Basic Education,Administrative Staff,Skilled Workers,123.1,Yes,No,No,Yes,Female,No,19,No,0,6,8,6,12.166666666666666,0,0,6,6,6,13.5,0,11.1,0.6,2.02,0,False,False,True
Single,2nd phase - general contingent,Second Choice,Advertising and Marketing Management,Daytime,Secondary education,125.0,Portuguese,Secondary Education,Basic Education,Unskilled Workers,Skilled Workers,119.4,Yes,No,No,Yes,Female,No,18,No,0,6,10,4,13.6,0,0,6,7,5,12.666666666666666,0,11.1,0.6,2.02,0,False,False,True
Married,Over 23 years old,First Choice,Management,Daytime,Secondary education,133.1,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,140.0,No,No,No,No,Female,No,35,No,0,5,8,4,12.5,1,0,5,8,5,11.8,0,9.4,-0.8,-3.12,1,True,False,False
Single,Over 23 years old,First Choice,Social Service (evening attendance),Evening,Secondary education,133.1,Portuguese,Secondary Education,Other,Administrative Staff,Service Workers,116.5,No,No,No,Yes,Male,Yes,24,No,0,6,6,4,12.25,0,0,6,10,4,11.5,0,12.4,0.5,1.79,2,False,True,False
Single,2nd phase - general contingent,First Choice,Social Service,Daytime,Secondary education,120.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,113.0,Yes,No,No,Yes,Female,Yes,20,No,0,6,7,6,11.714285714285714,0,0,6,8,6,12.625,0,13.9,-0.3,0.79,0,False,False,True
Single,1st phase - general contingent,Second Choice,Journalism and Communication,Daytime,Secondary education,143.0,Italian,Basic Education,Basic Education,Administrative Staff,Unskilled Workers,133.9,Yes,No,No,Yes,Male,Yes,18,Yes,0,6,7,6,13.5,0,0,6,7,6,13.0,0,16.2,0.3,-0.92,0,False,False,True
Single,1st phase - general contingent,Second Choice,Nursing,Daytime,Secondary education,133.1,Portuguese,Basic Education,Basic Education,Skilled Workers,Unskilled Workers,115.5,Yes,No,No,Yes,Male,Yes,20,No,0,8,8,7,13.024285714285714,0,0,8,8,7,13.024285714285714,0,10.8,1.4,1.74,0,False,False,True
Single,2nd phase - general contingent,Second Choice,Tourism,Daytime,Secondary education,121.0,Portuguese,Secondary Education,Basic Education,Administrative Staff,Skilled Workers,116.5,Yes,No,No,No,Male,No,18,No,0,6,12,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,1,True,False,False
Single,1st phase - general contingent,First Choice,Informatics Engineering,Daytime,Secondary education,168.0,Portuguese,Basic Education,Basic Education,Administrative Staff,Administrative Staff,171.2,No,No,No,Yes,Male,Yes,18,No,0,5,6,5,17.333333333333332,0,0,5,8,5,18.571428571428573,0,12.4,0.5,1.79,0,False,False,True
Single,1st phase - general contingent,First Choice,Advertising and Marketing Management,Daytime,Secondary education,124.0,Portuguese,Basic Education,Basic Education,Service Workers,Skilled Workers,119.1,No,No,No,Yes,Male,Yes,20,No,0,5,7,4,11.0,0,0,5,7,4,11.5,0,9.4,-0.8,-3.12,0,False,False,True
Single,2nd phase - general contingent,Second Choice,Basic Education,Daytime,Secondary education,127.0,Portuguese,Basic Education,Basic Education,Technicians,Technicians,121.1,Yes,No,No,Yes,Male,No,19,No,0,7,10,6,13.666666666666666,0,0,7,9,6,12.5,0,12.4,0.5,1.79,1,True,False,False
Single,1st phase - general contingent,Second Choice,Communication Design,Daytime,Secondary education,129.0,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Unskilled Workers,132.9,Yes,No,No,Yes,Male,Yes,20,No,0,6,9,6,11.375,0,0,6,6,5,13.8,0,7.6,2.6,0.32,2,False,True,False
Single,1st phase - general contingent,First Choice,Social Service,Daytime,Secondary education,137.0,Portuguese,Basic Education,Secondary Education,Unskilled Workers,Unskilled Workers,132.8,No,No,No,Yes,Male,No,19,No,0,6,6,6,12.833333333333334,0,0,6,8,6,11.833333333333334,0,10.8,1.4,1.74,0,False,False,True
Single,1st phase - general contingent,First Choice,Journalism and Communication,Daytime,Secondary education,120.0,Portuguese,Other,Basic Education,Student,Student,126.7,Yes,No,No,Yes,Male,No,20,No,0,6,9,5,12.6,0,0,6,11,4,11.5,0,7.6,2.6,0.32,0,False,False,True
Single,1st phase - general contingent,First Choice,Nursing,Daytime,Secondary education,110.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Skilled Workers,105.8,Yes,No,No,Yes,Male,No,22,No,0,7,8,6,14.333333333333334,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,0,False,False,True
Single,2nd phase - general contingent,Second Choice,Informatics Engineering,Daytime,Secondary education,120.0,Portuguese,Secondary Education,Basic Education,Unskilled Workers,Machine Operators,117.2,No,No,No,Yes,Male,Yes,18,No,0,5,8,4,13.5,0,0,6,10,6,13.625,0,11.1,0.6,2.02,2,False,True,False
Single,1st phase - general contingent,First Choice,Nursing,Daytime,Secondary education,143.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,140.0,No,No,No,Yes,Male,No,19,No,0,8,8,7,14.285714285714286,0,0,8,8,7,14.285714285714286,0,12.7,3.7,-1.7,0,False,False,True
Single,Technological specialization diploma holders,First Choice,Agronomy,Daytime,Technological specialization,120.0,Portuguese,Secondary Education,Basic Education,Unskilled Workers,Skilled Workers,120.0,No,No,No,Yes,Male,No,22,No,2,6,15,3,11.75,0,0,6,12,2,10.0,0,13.9,-0.3,0.79,1,True,False,False
Single,2nd phase - general contingent,Second Choice,Informatics Engineering,Daytime,Secondary education,124.0,Italian,Higher Education,Other,Professionals,Unskilled Workers,119.5,Yes,No,No,Yes,Male,No,20,Yes,0,5,5,5,14.8,0,0,5,5,5,17.6,0,8.9,1.4,3.51,0,False,False,True
Married,Over 23 years old,First Choice,Agronomy,Daytime,Secondary education,168.0,Portuguese,Secondary Education,Higher Education,Unskilled Workers,Technicians,153.9,No,No,Yes,No,Male,No,34,No,0,6,7,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,1,True,False,False
Married,Over 23 years old,First Choice,Social Service (evening attendance),Evening,Basic education,133.1,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Administrative Staff,130.0,No,No,No,Yes,Male,No,24,No,0,6,14,1,10.0,0,0,5,5,0,0.0,0,16.2,0.3,-0.92,1,True,False,False
Single,Over 23 years old,Second Choice,Advertising and Marketing Management,Daytime,Secondary education,150.0,Portuguese,Other,Other,Student,Student,107.0,Yes,No,No,Yes,Male,No,26,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,1,True,False,False
Single,Over 23 years old,First Choice,Nursing,Daytime,Secondary education,140.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Agricultural Workers,132.8,No,No,No,Yes,Male,No,35,No,0,7,10,4,12.6,0,0,7,9,5,12.38,0,12.4,0.5,1.79,1,True,False,False
Single,1st phase - general contingent,First Choice,Management (evening attendance),Evening,Secondary education,145.0,Portuguese,Higher Education,Basic Education,Administrative Staff,Unskilled Workers,127.5,Yes,No,No,Yes,Male,No,22,No,0,5,9,5,12.428571428571429,1,0,5,7,5,11.8,0,7.6,2.6,0.32,0,False,False,True
Single,3rd phase - general contingent,First Choice,Tourism,Daytime,Secondary education,118.0,Portuguese,Basic Education,Basic Education,Service Workers,Service Workers,123.3,Yes,No,No,Yes,Male,No,26,No,0,6,10,4,10.0,0,0,6,11,3,12.0,0,9.4,-0.8,-3.12,2,False,True,False
Single,2nd phase - general contingent,First Choice,Management,Daytime,Secondary education,123.0,Portuguese,Secondary Education,Basic Education,Technicians,Administrative Staff,122.0,No,No,No,Yes,Male,No,19,No,0,5,7,3,12.333333333333334,0,0,5,5,0,0.0,0,8.9,1.4,3.51,1,True,False,False
Single,1st phase - general contingent,Second Choice,Tourism,Daytime,Secondary education,120.0,Portuguese,Higher Education,Basic Education,Technicians,Unskilled Workers,114.8,Yes,No,No,No,Male,No,19,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,1,True,False,False
Single,Technological specialization diploma holders,First Choice,Animation and Multimedia Design,Daytime,Technological specialization,140.0,Portuguese,Higher Education,Higher Education,Professionals,Professionals,140.0,No,No,Yes,Yes,Male,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,0,False,False,True
Single,Change of institution/course,First Choice,Advertising and Marketing Management,Daytime,Secondary education,126.0,Portuguese,Higher Education,Higher Education,Managers,Armed Forces,111.0,No,No,Yes,Yes,Male,No,21,No,5,11,12,10,12.1,0,2,8,9,8,13.333333333333334,0,11.1,0.6,2.02,0,False,False,True
Single,1st phase - general contingent,Second Choice,Journalism and Communication,Daytime,Secondary education,137.0,Portuguese,Secondary Education,Basic Education,Skilled Workers,Skilled Workers,133.2,Yes,No,No,Yes,Female,Yes,19,No,0,6,7,6,14.714285714285714,0,0,6,6,6,15.0,0,13.9,-0.3,0.79,0,False,False,True
Single,1st phase - general contingent,Second Choice,Journalism and Communication,Daytime,Secondary education,130.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,123.0,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,12.666666666666666,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,0,False,False,True
Single,Short cycle diploma holders,First Choice,Agronomy,Daytime,Other,150.0,Portuguese,Secondary Education,Basic Education,Machine Operators,Machine Operators,150.0,No,No,No,Yes,Female,Yes,23,No,7,12,14,12,14.384615384615383,0,5,10,12,10,13.3,0,8.9,1.4,3.51,0,False,False,True
Single,2nd phase - general contingent,Second Choice,Management,Daytime,Secondary education,147.0,Portuguese,Basic Education,Basic Education,Service Workers,Skilled Workers,132.3,Yes,No,No,Yes,Female,Yes,18,No,0,5,5,5,13.4,0,0,5,6,5,12.2,0,12.7,3.7,-1.7,0,False,False,True
Single,3rd phase - general contingent,First Choice,Nursing,Daytime,Secondary education,140.0,Portuguese,Basic Education,Basic Education,Service Workers,Skilled Workers,126.0,Yes,No,No,Yes,Female,No,18,No,0,8,8,7,13.314285714285717,0,0,8,8,7,13.314285714285717,0,12.7,3.7,-1.7,0,False,False,True
Single,1st phase - general contingent,Second Choice,Nursing,Daytime,Secondary education,132.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,119.3,Yes,No,No,Yes,Female,No,19,No,0,8,8,7,11.98857142857143,0,0,8,8,7,11.98857142857143,0,10.8,1.4,1.74,0,False,False,True
Single,Short cycle diploma holders,First Choice,Management,Daytime,Other,130.0,Portuguese,Secondary Education,Basic Education,Administrative Staff,Skilled Workers,133.8,Yes,No,No,Yes,Female,No,21,No,6,11,17,11,11.545454545454543,0,3,9,13,8,12.88888888888889,0,8.9,1.4,3.51,0,False,False,True
Single,1st phase - general contingent,First Choice,Veterinary Nursing,Daytime,Secondary education,130.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Agricultural Workers,126.5,Yes,No,No,Yes,Female,Yes,18,No,0,6,13,6,16.46153846153846,0,0,6,8,6,13.875,0,15.5,2.8,-4.06,0,False,False,True
Single,1st phase - general contingent,First Choice,Journalism and Communication,Daytime,Secondary education,151.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Service Workers,138.4,Yes,No,No,Yes,Female,Yes,24,No,0,6,7,6,13.666666666666666,0,0,6,6,6,12.833333333333334,0,10.8,1.4,1.74,0,False,False,True
Single,1st phase - general contingent,Second Choice,Nursing,Daytime,Secondary education,144.0,Portuguese,Higher Education,Higher Education,Professionals,Technicians,129.0,Yes,No,No,Yes,Female,No,18,No,0,7,8,7,12.65,0,0,8,9,8,13.411111111111111,0,16.2,0.3,-0.92,1,True,False,False
Single,1st phase - general contingent,First Choice,Advertising and Marketing Management,Daytime,Secondary education,127.0,Portuguese,Basic Education,Secondary Education,Service Workers,Skilled Workers,118.3,Yes,No,No,Yes,Female,No,18,No,0,6,7,6,12.333333333333334,0,0,6,10,3,12.0,0,13.9,-0.3,0.79,2,False,True,False
Single,2nd phase - general contingent,Second Choice,Nursing,Daytime,Secondary education,131.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Skilled Workers,129.8,Yes,No,No,Yes,Female,No,20,No,0,7,8,6,14.37,0,0,8,10,7,14.65,0,12.4,0.5,1.79,0,False,False,True
Single,2nd phase - general contingent,Second Choice,Veterinary Nursing,Daytime,Secondary education,123.0,Portuguese,Secondary Education,Basic Education,Administrative Staff,Unskilled Workers,113.6,Yes,No,No,Yes,Female,No,19,No,0,5,13,3,12.0,2,0,5,8,4,11.75,0,9.4,-0.8,-3.12,2,False,True,False
Single,1st phase - general contingent,Second Choice,Journalism and Communication,Daytime,Secondary education,130.0,Portuguese,Other,Basic Education,Student,Machine Operators,128.3,Yes,No,No,No,Female,Yes,18,No,0,6,12,3,12.0,0,0,6,15,3,10.666666666666666,0,7.6,2.6,0.32,1,True,False,False
Single,Change of course,First Choice,Tourism,Daytime,Secondary education,130.0,Portuguese,Secondary Education,Basic Education,Service Workers,Skilled Workers,130.0,No,No,No,Yes,Female,Yes,19,No,0,6,11,4,12.0,0,0,6,14,3,11.0,0,10.8,1.4,1.74,1,True,False,False
Single,2nd phase - general contingent,Second Choice,Basic Education,Daytime,Secondary education,131.0,Portuguese,Secondary Education,Basic Education,Administrative Staff,Machine Operators,121.9,Yes,No,No,Yes,Female,No,19,No,0,6,10,5,12.6,0,0,6,7,5,11.2,0,10.8,1.4,1.74,0,False,False,True
Single,1st phase - general contingent,Second Choice,Social Service,Daytime,Higher education,135.0,Portuguese,Secondary Education,Basic Education,Unskilled Workers,Technicians,129.4,No,No,Yes,Yes,Female,No,18,No,0,6,6,6,12.166666666666666,0,0,6,6,6,12.333333333333334,0,10.8,1.4,1.74,0,False,False,True
Single,1st phase - general contingent,Second Choice,Basic Education,Daytime,Secondary education,123.0,Portuguese,Basic Education,Secondary Education,Service Workers,Armed Forces,115.3,Yes,No,No,Yes,Female,No,20,No,0,7,8,6,13.5,0,0,7,8,6,14.0,0,11.1,0.6,2.02,2,False,True,False
Single,1st phase - general contingent,Second Choice,Nursing,Daytime,Secondary education,145.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,125.5,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,8,13.76375,0,0,8,8,8,13.76375,0,9.4,-0.8,-3.12,0,False,False,True
Single,2nd phase - general contingent,Second Choice,Oral Hygiene,Daytime,Secondary education,118.0,Portuguese,Basic Education,Basic Education,Service Workers,Service Workers,117.8,Yes,No,No,Yes,Female,Yes,19,No,0,7,11,6,12.4,0,0,7,8,6,12.8,0,11.1,0.6,2.02,0,False,False,True
Single,2nd phase - general contingent,Second Choice,Management,Daytime,Secondary education,125.0,Portuguese,Higher Education,Basic Education,Professionals,Armed Forces,118.7,Yes,No,No,Yes,Female,No,18,No,0,5,16,4,10.666666666666666,0,0,5,11,2,12.0,0,13.9,-0.3,0.79,2,False,True,False
Single,1st phase - general contingent,Second Choice,Nursing,Daytime,Secondary education,152.0,Portuguese,Basic Education,Basic Education,Unskilled Workers,Unskilled Workers,139.0,Yes,No,No,Yes,Female,No,18,No,0,7,7,6,14.333333333333334,0,0,7,7,6,14.333333333333334,0,7.6,2.6,0.32,0,False,False,True
Single,1st phase - general contingent,First Choice,Veterinary Nursing,Daytime,Secondary education,101.0,Portuguese,Secondary Education,Basic Education,Administrative Staff,Unskilled Workers,98.9,Yes,No,No,Yes,Female,No,21,No,0,6,12,4,12.5,0,0,6,13,2,12.666666666666666,0,11.1,0.6,2.02,2,False,True,False
Single,2nd phase - general contingent,First Choice,Tourism,Daytime,Secondary education,137.0,Portuguese,Other,Basic Education,Student,Skilled Workers,137.7,Yes,No,Yes,No,Female,No,19,No,0,6,14,1,10.0,0,0,6,13,0,0.0,0,7.6,2.6,0.32,1,True,False,False
Single,1st phase - general contingent,Second Choice,Nursing,Daytime,Secondary education,123.0,Portuguese,Secondary Education,Secondary Education,Technicians,Technicians,113.6,Yes,No,No,Yes,Female,No,21,No,0,7,8,7,14.69625,0,0,8,9,8,14.622222222222224,0,12.4,0.5,1.79,0,False,False,True
